"","Dog1","Dog10","Dog23"
"",0,0,947
"",0,0,801
"",0,0,800
"",0,0,768
"",0,0,741
"",0,0,727
"",0,0,702
"",0,0,686
"",0,0,666
"",0,0,625
"",0,0,620
"",0,0,612
"",0,605,0
"",0,0,597
"",0,0,579
"",0,0,575
"",0,0,574
"",0,0,573
"",0,0,528
"",0,0,524
"",0,519,0
"",0,518,0
"",0,0,514
"",0,508,0
"",0,0,503
"",0,0,500
"",0,493,0
"",0,0,491
"",0,0,478
"",0,0,471
"",0,0,471
"",0,0,465
"",0,0,462
"",0,0,462
"",461,0,0
"",0,0,458
"",0,455,0
"",0,447,0
"",446,0,0
"",0,446,0
"",0,0,432
"",0,0,421
"",0,0,419
"",0,0,419
"",418,0,0
"",0,0,415
"",414,0,0
"",0,0,412
"",0,409,0
"",0,408,0
"",0,405,0
"",0,0,404
"",0,0,403
"",0,0,402
"",401,0,0
"",0,0,401
"",399,0,0
"",0,398,0
"",394,0,0
"",0,393,0
"",390,0,0
"",389,0,0
"",0,0,389
"",0,0,386
"",0,0,385
"",0,0,384
"",0,0,384
"",0,381,0
"",0,0,381
"",0,373,0
"",0,368,0
"",0,367,0
"",0,0,366
"",0,0,365
"",361,0,0
"",359,0,0
"",0,359,0
"",0,0,359
"",0,356,0
"",0,0,355
"",0,0,354
"",0,0,352
"",0,0,351
"",0,0,349
"",0,0,347
"",0,0,347
"",344,0,0
"",343,0,0
"",0,0,342
"",338,0,0
"",337,0,0
"",0,0,337
"",0,333,0
"",0,0,333
"",0,332,0
"",0,329,0
"",0,328,0
"",327,0,0
"",326,0,0
"",325,0,0
"",0,325,0
"",324,0,0
"",321,0,0
"",0,0,321
"",0,320,0
"",318,0,0
"",0,0,317
"",0,0,317
"",0,0,317
"",316,0,0
"",0,0,315
"",0,0,313
"",310,0,0
"",0,0,310
"",309,0,0
"",0,0,309
"",307,0,0
"",0,0,305
"",0,0,304
"",0,302,0
"",0,0,302
"",301,0,0
"",301,0,0
"",0,301,0
"",0,0,300
"",299,0,0
"",0,297,0
"",0,0,295
"",292,0,0
"",291,0,0
"",0,0,291
"",288,0,0
"",0,288,0
"",0,0,285
"",0,0,282
"",280,0,0
"",0,0,280
"",274,0,0
"",0,0,274
"",0,273,0
"",0,0,273
"",0,0,272
"",0,0,271
"",0,0,271
"",0,0,271
"",0,0,270
"",269,0,0
"",268,0,0
"",0,268,0
"",0,266,0
"",265,0,0
"",0,265,0
"",0,0,265
"",264,0,0
"",0,264,0
"",263,0,0
"",0,263,0
"",254,0,0
"",250,0,0
"",248,0,0
"",0,248,0
"",0,0,248
"",246,0,0
"",0,244,0
"",242,0,0
"",242,0,0
"",0,0,241
"",238,0,0
"",0,0,237
"",236,0,0
"",0,0,236
"",234,0,0
"",233,0,0
"",232,0,0
"",0,232,0
"",0,231,0
"",0,231,0
"",0,0,230
"",229,0,0
"",0,229,0
"",228,0,0
"",0,228,0
"",0,0,228
"",0,0,227
"",226,0,0
"",0,0,226
"",225,0,0
"",224,0,0
"",0,224,0
"",223,0,0
"",222,0,0
"",0,222,0
"",221,0,0
"",0,0,219
"",0,218,0
"",217,0,0
"",216,0,0
"",215,0,0
"",0,0,214
"",0,0,210
"",208,0,0
"",0,0,208
"",0,0,207
"",206,0,0
"",0,206,0
"",0,206,0
"",205,0,0
"",0,0,204
"",202,0,0
"",0,202,0
"",0,0,202
"",0,0,202
"",200,0,0
"",0,0,200
"",0,0,198
"",0,0,198
"",196,0,0
"",0,0,196
"",195,0,0
"",194,0,0
"",0,194,0
"",0,0,194
"",0,193,0
"",0,191,0
"",189,0,0
"",189,0,0
"",0,189,0
"",188,0,0
"",187,0,0
"",0,0,187
"",0,186,0
"",185,0,0
"",184,0,0
"",0,184,0
"",0,0,184
"",0,183,0
"",0,183,0
"",0,183,0
"",180,0,0
"",0,180,0
"",179,0,0
"",179,0,0
"",179,0,0
"",0,179,0
"",0,0,179
"",0,177,0
"",0,0,177
"",0,0,177
"",0,175,0
"",174,0,0
"",174,0,0
"",174,0,0
"",173,0,0
"",0,173,0
"",172,0,0
"",172,0,0
"",171,0,0
"",171,0,0
"",171,0,0
"",170,0,0
"",170,0,0
"",170,0,0
"",170,0,0
"",169,0,0
"",168,0,0
"",168,0,0
"",168,0,0
"",167,0,0
"",165,0,0
"",165,0,0
"",164,0,0
"",0,162,0
"",161,0,0
"",0,161,0
"",0,0,161
"",160,0,0
"",0,160,0
"",0,160,0
"",157,0,0
"",156,0,0
"",155,0,0
"",155,0,0
"",0,0,154
"",153,0,0
"",152,0,0
"",152,0,0
"",0,151,0
"",0,0,151
"",150,0,0
"",150,0,0
"",0,0,150
"",149,0,0
"",0,0,148
"",147,0,0
"",0,0,146
"",0,0,145
"",144,0,0
"",144,0,0
"",144,0,0
"",0,0,144
"",0,143,0
"",0,143,0
"",0,143,0
"",0,0,143
"",142,0,0
"",0,142,0
"",0,142,0
"",0,142,0
"",141,0,0
"",0,141,0
"",0,0,141
"",139,0,0
"",138,0,0
"",0,138,0
"",0,0,138
"",0,137,0
"",0,0,137
"",0,0,137
"",0,136,0
"",0,0,136
"",0,0,135
"",134,0,0
"",134,0,0
"",0,134,0
"",0,0,134
"",133,0,0
"",132,0,0
"",131,0,0
"",131,0,0
"",0,131,0
"",0,130,0
"",0,130,0
"",0,130,0
"",0,0,130
"",0,0,129
"",0,0,129
"",128,0,0
"",128,0,0
"",0,0,128
"",0,0,128
"",127,0,0
"",127,0,0
"",0,127,0
"",0,0,127
"",126,0,0
"",125,0,0
"",125,0,0
"",0,0,125
"",124,0,0
"",0,124,0
"",0,0,124
"",122,0,0
"",0,122,0
"",0,0,122
"",0,0,120
"",119,0,0
"",0,119,0
"",0,119,0
"",0,0,119
"",0,0,119
"",0,118,0
"",0,118,0
"",0,0,118
"",0,0,117
"",116,0,0
"",0,0,115
"",114,0,0
"",0,0,114
"",0,0,114
"",113,0,0
"",113,0,0
"",0,113,0
"",0,0,113
"",112,0,0
"",0,112,0
"",0,112,0
"",0,0,112
"",0,0,111
"",0,0,110
"",0,0,110
"",0,0,110
"",0,0,110
"",109,0,0
"",109,0,0
"",0,109,0
"",0,109,0
"",0,0,109
"",0,0,109
"",108,0,0
"",108,0,0
"",0,0,108
"",0,0,107
"",0,0,107
"",106,0,0
"",106,0,0
"",0,106,0
"",0,106,0
"",0,0,106
"",0,0,106
"",105,0,0
"",105,0,0
"",0,105,0
"",0,0,105
"",0,0,105
"",0,0,104
"",103,0,0
"",0,103,0
"",102,0,0
"",0,0,102
"",101,0,0
"",0,101,0
"",0,101,0
"",0,101,0
"",0,0,101
"",0,0,101
"",0,0,101
"",0,100,0
"",0,0,100
"",0,0,100
"",99,0,0
"",99,0,0
"",99,0,0
"",0,99,0
"",0,99,0
"",0,0,99
"",98,0,0
"",0,0,98
"",97,0,0
"",0,97,0
"",96,0,0
"",0,0,96
"",0,0,96
"",0,0,96
"",0,0,96
"",0,0,96
"",95,0,0
"",0,0,95
"",94,0,0
"",94,0,0
"",0,94,0
"",0,0,94
"",0,0,94
"",0,0,94
"",0,0,94
"",93,0,0
"",0,93,0
"",0,0,93
"",0,0,93
"",92,0,0
"",0,0,92
"",0,0,92
"",91,0,0
"",91,0,0
"",91,0,0
"",0,91,0
"",0,0,91
"",0,0,91
"",0,0,91
"",90,0,0
"",0,90,0
"",88,0,0
"",0,88,0
"",0,0,88
"",0,0,88
"",0,0,88
"",0,0,88
"",87,0,0
"",0,87,0
"",0,87,0
"",0,0,87
"",0,0,87
"",86,0,0
"",0,86,0
"",0,0,86
"",85,0,0
"",85,0,0
"",85,0,0
"",0,85,0
"",0,84,0
"",83,0,0
"",0,83,0
"",0,83,0
"",0,83,0
"",0,83,0
"",0,83,0
"",0,0,83
"",0,82,0
"",0,82,0
"",0,82,0
"",0,0,82
"",0,0,82
"",0,0,82
"",0,0,82
"",81,0,0
"",81,0,0
"",0,81,0
"",0,0,81
"",0,0,81
"",0,0,81
"",0,0,81
"",80,0,0
"",80,0,0
"",80,0,0
"",0,80,0
"",0,80,0
"",0,0,80
"",0,0,80
"",79,0,0
"",79,0,0
"",79,0,0
"",79,0,0
"",0,0,79
"",0,0,79
"",78,0,0
"",78,0,0
"",78,0,0
"",78,0,0
"",0,78,0
"",0,0,78
"",0,0,78
"",0,0,78
"",0,0,78
"",0,0,78
"",77,0,0
"",77,0,0
"",77,0,0
"",0,77,0
"",0,77,0
"",0,77,0
"",0,77,0
"",0,0,77
"",0,0,77
"",76,0,0
"",76,0,0
"",76,0,0
"",76,0,0
"",0,76,0
"",0,76,0
"",0,0,76
"",0,0,76
"",0,0,76
"",0,0,76
"",75,0,0
"",75,0,0
"",0,0,75
"",0,0,75
"",74,0,0
"",74,0,0
"",74,0,0
"",0,74,0
"",0,74,0
"",0,0,74
"",73,0,0
"",73,0,0
"",73,0,0
"",73,0,0
"",73,0,0
"",0,73,0
"",0,0,73
"",72,0,0
"",0,72,0
"",0,72,0
"",71,0,0
"",71,0,0
"",0,71,0
"",0,0,71
"",0,0,71
"",0,0,71
"",70,0,0
"",70,0,0
"",70,0,0
"",70,0,0
"",70,0,0
"",0,0,70
"",0,0,70
"",69,0,0
"",69,0,0
"",69,0,0
"",0,69,0
"",0,69,0
"",0,0,69
"",0,0,69
"",0,0,69
"",68,0,0
"",68,0,0
"",68,0,0
"",0,68,0
"",0,0,68
"",0,0,68
"",0,0,68
"",67,0,0
"",67,0,0
"",67,0,0
"",0,67,0
"",0,67,0
"",0,0,67
"",66,0,0
"",66,0,0
"",0,66,0
"",0,66,0
"",0,66,0
"",0,66,0
"",0,0,66
"",0,0,66
"",0,0,66
"",0,0,66
"",65,0,0
"",65,0,0
"",65,0,0
"",65,0,0
"",0,65,0
"",0,65,0
"",0,65,0
"",0,0,65
"",0,0,65
"",64,0,0
"",64,0,0
"",64,0,0
"",64,0,0
"",64,0,0
"",64,0,0
"",64,0,0
"",0,64,0
"",0,64,0
"",0,0,64
"",0,0,64
"",0,0,64
"",63,0,0
"",63,0,0
"",0,0,63
"",0,0,63
"",0,0,63
"",62,0,0
"",62,0,0
"",62,0,0
"",62,0,0
"",62,0,0
"",0,62,0
"",0,62,0
"",0,0,62
"",61,0,0
"",61,0,0
"",61,0,0
"",61,0,0
"",0,61,0
"",0,61,0
"",0,61,0
"",0,61,0
"",0,0,61
"",0,0,61
"",0,0,61
"",0,0,61
"",0,0,61
"",60,0,0
"",60,0,0
"",60,0,0
"",60,0,0
"",60,0,0
"",0,60,0
"",0,60,0
"",0,60,0
"",0,60,0
"",0,0,60
"",0,0,60
"",0,0,60
"",0,0,60
"",0,0,60
"",59,0,0
"",59,0,0
"",59,0,0
"",59,0,0
"",59,0,0
"",59,0,0
"",59,0,0
"",59,0,0
"",59,0,0
"",0,59,0
"",0,59,0
"",0,0,59
"",58,0,0
"",58,0,0
"",0,58,0
"",0,58,0
"",0,0,58
"",0,0,58
"",0,0,58
"",57,0,0
"",57,0,0
"",57,0,0
"",57,0,0
"",57,0,0
"",57,0,0
"",57,0,0
"",0,0,57
"",0,0,57
"",0,0,57
"",56,0,0
"",56,0,0
"",56,0,0
"",56,0,0
"",0,56,0
"",0,56,0
"",0,56,0
"",0,56,0
"",0,56,0
"",0,0,56
"",0,0,56
"",55,0,0
"",55,0,0
"",55,0,0
"",55,0,0
"",55,0,0
"",55,0,0
"",55,0,0
"",55,0,0
"",0,55,0
"",0,55,0
"",0,0,55
"",0,0,55
"",0,0,55
"",0,0,55
"",0,0,55
"",0,0,55
"",0,0,55
"",54,0,0
"",54,0,0
"",54,0,0
"",54,0,0
"",54,0,0
"",54,0,0
"",54,0,0
"",54,0,0
"",54,0,0
"",0,54,0
"",0,54,0
"",0,54,0
"",0,54,0
"",0,54,0
"",0,0,54
"",0,0,54
"",0,0,54
"",0,0,54
"",0,0,54
"",0,0,54
"",0,0,54
"",53,0,0
"",53,0,0
"",53,0,0
"",53,0,0
"",53,0,0
"",53,0,0
"",0,53,0
"",0,53,0
"",0,53,0
"",0,53,0
"",0,53,0
"",0,0,53
"",0,0,53
"",0,0,53
"",0,0,53
"",0,0,53
"",52,0,0
"",52,0,0
"",52,0,0
"",52,0,0
"",52,0,0
"",52,0,0
"",52,0,0
"",0,52,0
"",0,0,52
"",0,0,52
"",0,0,52
"",0,0,52
"",0,0,52
"",0,0,52
"",51,0,0
"",51,0,0
"",51,0,0
"",51,0,0
"",0,51,0
"",0,51,0
"",0,51,0
"",0,51,0
"",0,0,51
"",0,0,51
"",0,0,51
"",0,0,51
"",0,0,51
"",0,0,51
"",0,0,51
"",0,0,51
"",0,0,51
"",50,0,0
"",50,0,0
"",50,0,0
"",50,0,0
"",0,50,0
"",0,50,0
"",0,50,0
"",0,50,0
"",0,50,0
"",0,50,0
"",0,50,0
"",0,50,0
"",0,0,50
"",0,0,50
"",0,0,50
"",0,0,50
"",49,0,0
"",49,0,0
"",49,0,0
"",49,0,0
"",49,0,0
"",0,49,0
"",0,49,0
"",0,49,0
"",0,0,49
"",0,0,49
"",48,0,0
"",48,0,0
"",0,48,0
"",0,48,0
"",0,48,0
"",0,0,48
"",0,0,48
"",0,0,48
"",0,0,48
"",47,0,0
"",47,0,0
"",47,0,0
"",47,0,0
"",47,0,0
"",47,0,0
"",47,0,0
"",0,47,0
"",0,47,0
"",0,47,0
"",0,47,0
"",0,47,0
"",0,47,0
"",0,47,0
"",0,47,0
"",0,47,0
"",0,0,47
"",0,0,47
"",46,0,0
"",46,0,0
"",46,0,0
"",46,0,0
"",46,0,0
"",46,0,0
"",46,0,0
"",46,0,0
"",46,0,0
"",46,0,0
"",46,0,0
"",0,46,0
"",0,46,0
"",0,46,0
"",0,46,0
"",0,46,0
"",0,0,46
"",0,0,46
"",0,0,46
"",0,0,46
"",0,0,46
"",0,0,46
"",0,0,46
"",0,0,46
"",45,0,0
"",45,0,0
"",45,0,0
"",45,0,0
"",45,0,0
"",45,0,0
"",45,0,0
"",0,45,0
"",0,45,0
"",0,45,0
"",0,45,0
"",0,0,45
"",0,0,45
"",0,0,45
"",0,0,45
"",0,0,45
"",44,0,0
"",44,0,0
"",44,0,0
"",44,0,0
"",44,0,0
"",44,0,0
"",44,0,0
"",44,0,0
"",44,0,0
"",44,0,0
"",0,44,0
"",0,44,0
"",0,44,0
"",0,0,44
"",0,0,44
"",0,0,44
"",0,0,44
"",43,0,0
"",43,0,0
"",43,0,0
"",43,0,0
"",43,0,0
"",43,0,0
"",43,0,0
"",43,0,0
"",43,0,0
"",43,0,0
"",0,43,0
"",0,43,0
"",0,43,0
"",0,43,0
"",0,43,0
"",0,43,0
"",0,43,0
"",0,43,0
"",0,43,0
"",0,43,0
"",0,0,43
"",0,0,43
"",0,0,43
"",0,0,43
"",0,0,43
"",0,0,43
"",0,0,43
"",42,0,0
"",42,0,0
"",42,0,0
"",42,0,0
"",42,0,0
"",0,42,0
"",0,42,0
"",0,42,0
"",0,0,42
"",0,0,42
"",0,0,42
"",41,0,0
"",41,0,0
"",41,0,0
"",41,0,0
"",41,0,0
"",41,0,0
"",0,41,0
"",0,41,0
"",0,0,41
"",0,0,41
"",40,0,0
"",40,0,0
"",40,0,0
"",40,0,0
"",40,0,0
"",40,0,0
"",40,0,0
"",0,40,0
"",0,40,0
"",0,40,0
"",0,40,0
"",0,40,0
"",0,0,40
"",0,0,40
"",0,0,40
"",0,0,40
"",0,0,40
"",0,0,40
"",0,0,40
"",39,0,0
"",39,0,0
"",39,0,0
"",39,0,0
"",39,0,0
"",39,0,0
"",39,0,0
"",39,0,0
"",39,0,0
"",39,0,0
"",39,0,0
"",39,0,0
"",39,0,0
"",0,39,0
"",0,39,0
"",0,39,0
"",0,39,0
"",0,39,0
"",0,0,39
"",0,0,39
"",0,0,39
"",0,0,39
"",38,0,0
"",38,0,0
"",38,0,0
"",38,0,0
"",0,38,0
"",0,38,0
"",0,38,0
"",0,38,0
"",0,38,0
"",0,0,38
"",0,0,38
"",0,0,38
"",0,0,38
"",0,0,38
"",37,0,0
"",0,37,0
"",0,37,0
"",0,37,0
"",0,37,0
"",0,37,0
"",0,0,37
"",0,0,37
"",36,0,0
"",36,0,0
"",36,0,0
"",36,0,0
"",36,0,0
"",36,0,0
"",36,0,0
"",36,0,0
"",0,0,36
"",0,0,36
"",0,0,36
"",0,0,36
"",35,0,0
"",35,0,0
"",35,0,0
"",35,0,0
"",35,0,0
"",35,0,0
"",35,0,0
"",0,35,0
"",0,35,0
"",0,35,0
"",0,35,0
"",0,35,0
"",0,35,0
"",0,35,0
"",0,0,35
"",34,0,0
"",34,0,0
"",34,0,0
"",34,0,0
"",34,0,0
"",0,34,0
"",0,34,0
"",0,34,0
"",0,0,34
"",0,0,34
"",0,0,34
"",0,0,34
"",0,0,34
"",33,0,0
"",33,0,0
"",33,0,0
"",33,0,0
"",0,33,0
"",0,33,0
"",0,0,33
"",32,0,0
"",32,0,0
"",32,0,0
"",32,0,0
"",32,0,0
"",32,0,0
"",0,32,0
"",0,32,0
"",0,32,0
"",0,0,32
"",0,0,32
"",0,0,32
"",31,0,0
"",31,0,0
"",31,0,0
"",0,31,0
"",0,31,0
"",30,0,0
"",30,0,0
"",30,0,0
"",29,0,0
"",29,0,0
"",0,29,0
"",0,29,0
"",28,0,0
"",28,0,0
"",28,0,0
"",28,0,0
"",28,0,0
"",28,0,0
"",28,0,0
"",28,0,0
"",28,0,0
"",28,0,0
"",0,28,0
"",0,0,28
"",27,0,0
"",27,0,0
"",27,0,0
"",27,0,0
"",27,0,0
"",27,0,0
"",27,0,0
"",0,27,0
"",0,27,0
"",0,0,27
"",26,0,0
"",26,0,0
"",26,0,0
"",0,26,0
"",0,0,26
"",0,0,26
"",0,0,26
"",0,0,26
"",25,0,0
"",25,0,0
"",25,0,0
"",25,0,0
"",0,0,25
"",0,0,25
"",0,0,25
"",24,0,0
"",24,0,0
"",24,0,0
"",0,24,0
"",0,24,0
"",0,0,24
"",0,0,24
"",0,0,24
"",0,0,24
"",23,0,0
"",23,0,0
"",23,0,0
"",0,0,23
"",0,0,23
"",0,0,23
"",0,22,0
"",0,22,0
"",0,0,22
"",0,0,22
"",0,0,22
"",21,0,0
"",0,21,0
"",0,21,0
"",0,21,0
"",0,0,21
"",0,0,21
"",20,0,0
"",0,0,20
"",19,0,0
"",19,0,0
"",19,0,0
"",19,0,0
"",0,19,0
"",0,19,0
"",0,18,0
"",0,17,0
"",0,17,0
"",0,17,0
"",0,17,0
"",0,0,17
"",16,0,0
"",0,15,0
"",0,15,0
"",0,15,0
"",0,15,0
"",0,14,0
"",0,0,14
"",13,0,0
"",12,0,0
"",12,0,0
"",12,0,0
"",0,12,0
"",0,12,0
"",0,0,12
"",0,11,0
"",0,0,11
"",0,0,10
"",9,0,0
"",0,0,7
"",6,0,0
"",0,0,6
"",0,0,6
"",0,5,0
"",0,0,5
"",0,0,5
"",4,0,0
"",4,0,0
"",4,0,0
"",0,0,4
"",0,0,4
"",3,0,0
"",0,3,0
"",0,3,0
"",2,0,0
"",2,0,0
"",0,2,0
"",0,0,2
